<hes>	<hes>	a: _6	6 m _6	m _5	ej _6
A	ei1	ej _1
过度	gwo3dou6	gw O: _3 . d ow _6
过激	gwo3gik1	gw O: _3 . g i: k _1
运气	wan6hei3	w 6 n _6 . h ej _3
运用	wan6yung6	w 6 n _6 . j y: N _6
运输	wan6syu1	w 6 n _6 . s y: _1
近	kan5	k 6 n _5
近日	gan6yat6	g 6 n _6 . j 6 t _6
还是	waan4si6	w a: n _4 . s i: _6
还款	waan4fun2	w a: n _4 . f u: n _2
这	je3	dz E: _3
这一	je5yat1	dz E: _5 . j 6 t _1
这么	je5mo1	dz E: _5 . m O: _1
这样	je5yeung6	dz E: _5 . j 9: N _6
这里	je3leui5	dz E: _3 . l 9y _5
进入	jeun3yap6	dz 9: n _3 . j 6 p _6
进化	jeun3fa3	dz 9: n _3 . f a: _3
进展	jeun3jin2	dz 9: n _3 . dz i: n _2
进行	jeun3hang4	dz 9: n _3 . h 6 N _4
远	yun5	j y: n _5
远离	yun5lei4	j y: n _5 . l ej _4
远远	yun5yun5	j y: n _5 . j y: n _5
远销	yun5siu1	j y: n _5 . s iw _1
连	lin4	l i: n _4
连州市	lin4jau1si5	l i: n _4 . dz 6w _1 . s i: _5
连长	lin4jeung2	l i: n _4 . dz 9: N _2
迟到	chi4dou3	ts i: _4 . d ow _3
迟缓	chi4wun6	ts i: _4 . w u: n _6
迹象	jik1jeung6	dz i: k _1 . dz 9: N _6
追求	jeui1kau4	dz 9y _1 . k 6w _4
退	teui3	t 9y _3
退役	teui3yik6	t 9y _3 . j i: k _6
送	sung3	s u: N _3
送行	sung3hang4	s u: N _3 . h 6 N _4
适合	sik1hap6	s i: k _1 . h 6 p _6
适应	sik1ying3	s i: k _1 . j i: N _3
适用	sik1yung6	s i: k _1 . j y: N _6
逃	tou4	t ow _4
逃避	tou4bei6	t ow _4 . b ej _6
选	syun2	s y: n _2
选择	syun2jaak6	s y: n _2 . dz a: k _6
透露	tau3lou6	t 6w _3 . l ow _6
逐渐	juk6jim6	dz u: k _6 . dz i: m _6	dz u: k _6 . dz i: n _6
途	tou4	t ow _4
通	tung1	t u: N _1
通常	tung1seung4	t u: N _1 . s 9: N _4
通话	tung1wa6	t u: N _1 . w a: _6
速度比	chuk1dou6bei2	ts u: k _1 . d ow _6 . b ej _2
造成	jou3sing4	dz ow _3 . s i: N _4
遇上	yu6seung5	j y: _6 . s 9: N _5
遇到	yu6dou3	j y: _6 . d ow _3	j y: _6 . d ow _2
遍	pin3	p i: n _3
道	dou6	d ow _6
道德	dou6dak1	d ow _6 . d 6 k _1
道理	dou6lei5	d ow _6 . l ej _5
遗传	wai4chyun4	w 6j _4 . ts y: n _4
遗迹	wai4jik1	w 6j _4 . dz i: k _1
遭受	jou1sau6	dz ow _1 . s 6w _6
避免	bei6min5	b ej _6 . m i: n _5
邓雅婷	dang6nga5ting4	d 6 N _6 . N a: _5 . t i: N _4
那	na5	n a: _5
那么	na5mo1	n a: _5 . m O: _1
那里	na5leui5	n a: _5 . l 9y _5
郊区	gaau1keui1	g a:w _1 . k 9y _1
郝龙斌	kok3lung4ban1	k O: k _3 . l u: N _4 . b 6 n _1
部	bou6	b ow _6
郭静怡	gwok3jing6yi4	gw O: k _3 . dz i: N _6 . j i: _4
都	dou1	d ow _1
都市	dou1si5	d ow _1 . s i: _5
鄂尔多斯	ngok6yi5do1si1	N O: k _6 . j i: _5 . d O: _1 . s i: _1
配额	pui3ngaak6	p u:j _3 . N a: k _6	p u:j _3 . a: k _6
酒精	jau2jing1	dz 6w _2 . dz i: N _1
里	lei5	l ej _5	l 9y _5
重	jung6	dz u: N _6
重建	chung4gin3	ts u: N _4 . g i: n _3
重新	chung4san1	ts u: N _4 . s 6 n _1
重现	chung4yin6	ts u: N _4 . j i: n _6
重要	jung6yiu3	dz u: N _6 . j iw _3
重要性	jung6yiu3sing3	dz u: N _6 . j iw _3 . s i: N _3
重重	chung4chung4	ts u: N _4 . ts u: N _4
野生	ye5saang1	j E: _5 . s 6 N _1	j E: _5 . s a: N _1
量	leung6	l 9: N _6
金	gam1	g 6 m _1
金健	gam1gin6	g 6 m _1 . g i: n _6
金元	gam1yun4	g 6 m _1 . j y: n _4
金新	gam1san1	g 6 m _1 . s 6 n _1
金枝	gam1ji1	g 6 m _1 . dz i: _1
鉴别	gaam3bit6	g a: m _3 . b i: t _6
钞	chaau1	ts a:w _1
钟	jung1	dz u: N _1
钱	chin2	ts i: n _2
钱合明	chin2hap6ming4	ts i: n _2 . h 6 p _6 . m i: N _4
钻饰	jyun3sik1	dz y: n _3 . s i: k _1
铁路	tit3lou6	t i: t _3 . l ow _6
铜	tung4	t u: N _4
银行	ngan4hong4	N 6 n _4 . h O: N _4
银行业	ngan4hong4yip6	N 6 n _4 . h O: N _4 . j i: p _6
银行界	ngan4hong4gaai3	N 6 n _4 . h O: N _4 . g a:j _3
铺	pou3	p ow _3
销	siu1	s iw _1
锁	so2	s O: _2
锅	wo1	w O: _1
错误	cho3m6	ts O: _3 . m _6	ts O: _3 . N _6
锦华	gam2wa4	g 6 m _2 . w a: _4
锲而不舍	kit3yi4bat1se3	k i: t _3 . j i: _4 . b 6 t _1 . s E: _3
镇	jan3	dz 6 n _3
长	jeung2	dz 9: N _2
长	cheung4	ts 9: N _4
长久	cheung4gau2	ts 9: N _4 . g 6w _2
长信	cheung4seun3	ts 9: N _4 . s 9: n _3
长台	cheung4toi4	ts 9: N _4 . t O:j _4
长官	jeung2gun1	dz 9: N _2 . g u: n _1
长春	cheung4cheun1	ts 9: N _4 . ts 9: n _1
长期	cheung4kei4	ts 9: N _4 . k ej _4
长沙	cheung4sa1	ts 9: N _4 . s a: _1
长源	cheung4yun4	ts 9: N _4 . j y: n _4
长者	jeung2je2	dz 9: N _2 . dz E: _2
长远	cheung4yun5	ts 9: N _4 . j y: n _5
长途	cheung4tou4	ts 9: N _4 . t ow _4
门	mun4	m u: n _4
闪光	sim2gwong1	s i: m _2 . gw O: N _1
问	man6	m 6 n _6
问题	man6tai4	m 6 n _6 . t 6j _4
间	gaan1	g a: n _1	g a: n _3
闷	mun6	m u: n _6
闹	naau6	n a:w _6
闻	man4	m 6 n _4
闻名于世	man4ming4yu1sai3	m 6 n _4 . m i: N _4 . j y: _1 . s 6j _3
阅历	yut6lik6	j y: t _6 . l i: k _6
阅读	yut6duk6	j y: t _6 . d u: k _6
队长	deui6jeung2	d 9y _6 . dz 9: N _2
防	fong4	f O: N _4
阳光	yeung4gwong1	j 9: N _4 . gw O: N _1
阴影	yam1ying2	j 6 m _1 . j i: N _2
阶段	gaai1dyun6	g a:j _1 . d y: n _6
阿	a3	a: _3
阿伯	a3baak3	a: _3 . b a: k _3
阿卓	a3cheuk3	a: _3 . ts 9: k _3
阿名	a3meng2	a: _3 . m E: N _2
阿婆	a3po4	a: _3 . p O: _4
阿平	a3ping4	a: _3 . p i: N _4
阿芝	a3ji1	a: _3 . dz i: _1
附近	fu6gan6	f u: _6 . g 6 n _6
陆	luk6	l u: k _6
陈其育	chan4kei4yuk6	ts 6 n _4 . k ej _4 . j y: k _6
陈奎弘	chan4fui1wang4	ts 6 n _4 . f u:j _1 . w 6 N _4
陈奕忠	chan4yik6jung1	ts 6 n _4 . j i: k _6 . dz u: N _1
陈建玮	chan4gin3wai5	ts 6 n _4 . g i: n _3 . w 6j _5
陈彦君	chan4yin6gwan1	ts 6 n _4 . j i: n _6 . gw 6 n _1
陈心怡	chan4sam1yi4	ts 6 n _4 . s 6 m _1 . j i: _4
陈永行	chan4wing5hang4	ts 6 n _4 . w i: N _5 . h 6 N _4
陈玮毓	chan4wai5yuk1	ts 6 n _4 . w 6j _5 . j y: k _1
陈秀珍	chan4sau3jan1	ts 6 n _4 . s 6w _3 . dz 6 n _1
陈美轩	chan4mei5hin1	ts 6 n _4 . m ej _5 . h i: n _1
陈财人	chan4choi4yan4	ts 6 n _4 . ts O:j _4 . j 6 n _4
陈颜君	chan4ngaan4gwan1	ts 6 n _4 . N a: n _4 . gw 6 n _1	ts 6 n _4 . a: n _4 . gw 6 n _1
降低	gong3dai1	g O: N _3 . d 6j _1
限于	haan6yu1	h a: n _6 . j y: _1
限制	haan6jai3	h a: n _6 . dz 6j _3
除了	cheui4liu5	ts 9y _4 . l iw _5
陵	ling4	l i: N _4
陶冶	tou4ye5	t ow _4 . j E: _5
陶瓷	tou4chi4	t ow _4 . ts i: _4
陷入	ham6yap6	h 6 m _6 . j 6 p _6
陷害	ham6hoi6	h 6 m _6 . h O:j _6
陷阱	ham6jeng6	h 6 m _6 . dz E: N _6
随	cheui4	ts 9y _4
随州	cheui4jau1	ts 9y _4 . dz 6w _1
随身	cheui4san1	ts 9y _4 . s 6 n _1
隐	yan2	j 6 n _2
隐世	yan2sai3	j 6 n _2 . s 6j _3
隔	gaak3	g a: k _3
难	naan6	n a: n _6
难以	naan4yi5	n a: n _4 . j i: _5
难保	naan6bou2	n a: n _6 . b ow _2
难免	naan4min5	n a: n _4 . m i: n _5
雅戈尔	nga5gwo1yi5	N a: _5 . gw O: _1 . j i: _5
集	jaap6	dz a: p _6
集中	jaap6jung1	dz a: p _6 . dz u: N _1
集团	jaap6tyun4	dz a: p _6 . t y: n _4
雨林	yu5lam4	j y: _5 . l 6 m _4
雪	syut3	s y: t _3
零	leng4	l E: N _4
零一	leng4yat1	l E: N _4 . j 6 t _1
零件	ling4gin2	l i: N _4 . g i: n _2
零售	ling4sau6	l i: N _4 . s 6w _6
零售业	ling4sau6yip6	l i: N _4 . s 6w _6 . j i: p _6
零四十八	leng4sei3sap6baat3	l E: N _4 . s ej _3 . s 6 p _6 . b a: t _3
需	seui1	s 9y _1
需求	seui1kau4	s 9y _1 . k 6w _4
需要	seui1yiu3	s 9y _1 . j iw _3
霉运	mui4wan6	m u:j _4 . w 6 n _6
青叶城	ching1yip6seng2	ts i: N _1 . j i: p _6 . s E: N _2
青少年	cheng1siu3nin4	ts E: N _1 . s iw _3 . l i: n _4	ts E: N _1 . s iw _3 . n i: n _4	ts i: N _1 . s iw _3 . l i: n _4	ts i: N _1 . s iw _3 . n i: n _4
青春期	cheng1cheun1kei4	ts E: N _1 . ts 9: n _1 . k ej _4	ts i: N _1 . ts 9: n _1 . k ej _4
靓	leng3	l E: N _3
静心	jing6sam1	dz i: N _6 . s 6 m _1
非	fei1	f ej _1
非常	fei1seung4	f ej _1 . s 9: N _4
靠	kaau3	k a:w _3
面	min2	m i: n _2
面临	min6lam4	m i: n _6 . l 6 m _4
面对	min6deui3	m i: n _6 . d 9y _3
面部	min6bou6	m i: n _6 . b ow _6
鞍山	on1saan1	O: n _1 . s a: n _1
韩国	hon4gwok3	h O: n _4 . gw O: k _3
音	yam1	j 6 m _1
项	hong6	h O: N _6
项目	hong6muk6	h O: N _6 . m u: k _6
预	yu6	j y: _6
预谋	yu6mau4	j y: _6 . m 6w _4
领域	ling5wik6	l i: N _5 . w i: k _6
领略	ling5leuk6	l i: N _5 . l 9: k _6
额外	ngaak6ngoi6	N a: k _6 . N O:j _6
颠沛	din1pui3	d i: n _1 . p u:j _3
风	fung1	f u: N _1
风光	fung1gwong1	f u: N _1 . gw O: N _1
风情	fung1ching4	f u: N _1 . ts i: N _4
风暴潮	fung1bou6chiu4	f u: N _1 . b ow _6 . ts iw _4
风险	fung1him2	f u: N _1 . h i: m _2
飘摇	piu1yiu4	p iw _1 . j iw _4
飞嚟	fei1lai4	f ej _1 . l 6j _4	f ej _1 . l ej _4
飞机	fei1gei1	f ej _1 . g ej _1
飞鼠	fei1syu2	f ej _1 . s y: _2
食	sik6	s i: k _6
食品	sik6ban2	s i: k _6 . b 6 n _2
食物	sik6mat6	s i: k _6 . m 6 t _6
食肉	sik6yuk6	s i: k _6 . j y: k _6
饥荒	gei1fong1	g ej _1 . f O: N _1
饭店	faan6dim3	f a: n _6 . d i: m _3
饮料	yam2liu2	j 6 m _2 . l iw _2
饮食	yam2sik6	j 6 m _2 . s i: k _6
饲养者	ji6yeung5je2	dz i: _6 . j 9: N _5 . dz E: _2
饲料	ji6liu2	dz i: _6 . l iw _2
饶	yiu4	j iw _4
首	sau2	s 6w _2
首度	sau2dou6	s 6w _2 . d ow _6
首次	sau2chi3	s 6w _2 . ts i: _3
首肯	sau2hang2	s 6w _2 . h 6 N _2
首要	sau2yiu3	s 6w _2 . j iw _3
香	heung1	h 9: N _1
香港	heung1gong2	h 9: N _1 . g O: N _2
马路	ma5lou6	m a: _5 . l ow _6
驾车	ga3che1	g a: _3 . ts E: _1
骆建文	lok6gin3man2	l O: k _6 . g i: n _3 . m 6 n _2	l O: k _6 . g i: n _3 . m 6 n _6
高	gou1	g ow _1
高于	gou1yu1	g ow _1 . j y: _1
高密	gou1mat6	g ow _1 . m 6 t _6
高峰	gou1fung1	g ow _1 . f u: N _1
高德	gou1dak1	g ow _1 . d 6 k _1
高新	gou1san1	g ow _1 . s 6 n _1
高淑贞	gou1suk6jing1	g ow _1 . s u: k _6 . dz i: N _1
高科	gou1fo1	g ow _1 . f O: _1
高科技	gou1fo1gei6	g ow _1 . f O: _1 . g ej _6
高等	gou1dang2	g ow _1 . d 6 N _2
高速	gou1chuk1	g ow _1 . ts u: k _1
高金	gou1gam1	g ow _1 . g 6 m _1
鬼节	gwai2jit3	gw 6j _2 . dz i: t _3
魅力	mei6lik6	m ej _6 . l i: k _6
鲜花	sin1fa1	s i: n _1 . f a: _1
鸡西	gai1sai1	g 6j _1 . s 6j _1
鸵鸟	to4niu5	t O: _4 . n iw _5
黄伟玲	wong4wai5ling4	w O: N _4 . w 6j _5 . l i: N _4
黄冈	wong4gong1	w O: N _4 . g O: N _1
黄娇琴	wong4giu1kam4	w O: N _4 . g iw _1 . k 6 m _4
黄家岚	wong4ga1laam4	w O: N _4 . g a: _1 . l a: m _4
黄家祥	wong4ga1cheung4	w O: N _4 . g a: _1 . ts 9: N _4
黄建芸	wong4gin3wan4	w O: N _4 . g i: n _3 . w 6 n _4
黄志伟	wong4ji3wai5	w O: N _4 . dz i: _3 . w 6j _5
黄怡雄	wong4yi4hung4	w O: N _4 . j i: _4 . h u: N _4
黄惠雯	wong4wai6man4	w O: N _4 . w 6j _6 . m 6 n _4
黄琬信	wong4yun2seun3	w O: N _4 . j y: n _2 . s 9: n _3
黄盈君	wong4ying4gwan1	w O: N _4 . j i: N _4 . gw 6 n _1
黄礼江	wong4lai5gong1	w O: N _4 . l 6j _5 . g O: N _1
黄金周	wong4gam1jau1	w O: N _4 . g 6 m _1 . dz 6w _1
黎惟木	lai4wai4muk6	l 6j _4 . w 6j _4 . m u: k _6
黎涌村	lai4chung1chyun1	l 6j _4 . ts u: N _1 . ts y: n _1
黑夜	hak1ye6	h 6 k _1 . j E: _6
黑河	hak1ho4	h 6 k _1 . h O: _4
黑龙江	hak1lung4gong1	h 6 k _1 . l u: N _4 . g O: N _1
鼓励	gu2lai6	g u: _2 . l 6j _6
齐齐哈尔	chai4chai4ha1yi5	ts 6j _4 . ts 6j _4 . h a: _1 . j i: _5
齿轮	chi2leun4	ts i: _2 . l 9: n _4
龙	lung4	l u: N _4
龙井	lung4jang2	l u: N _4 . dz 6 N _2
