ሀም	h1m6	h a m
እንዳልሆንሽ	?6n6d4l6h7n6sh6	? 1 n . d a l . h o . n 1 S	? 1 n . d a l . h o n S
እንዳልሆንባቸው	?6n6d4l6h7n6b4c1w6	? 1 n . d a l . h o . n 1 b . b a tS . tS @ w
እንዳልልህ	?6n6d4l6l6h6	? 1 n . d a . l 1 . l 1 h
እንዳልመጣች	?6n6d4l6m1T4c6	? 1 n . d a l . m @ t> . t> a tS tS
እንዳልሰማ	?6n6d4l6s1m4	? 1 n . d a . l 1 s . s @ m . m a	? 1 n . d a l . s @ m . m a
እንዳልሽኝ	?6n6d4l6sh6J6	? 1 n . d a l . S 1 J
እንዳልበዛ	?6n6d4l6b1z4	? 1 n . d a l . b @ z . z a
እንዳልባል	?6n6d4l6b4l6	? 1 n . d a . l 1 b . b a l
እንዳልተኛ	?6n6d4l6t1J4	? 1 n . d a l . t @ J . J a
እንዳልነበረ	?6n6d4l6n1b1r1	? 1 n . d a l . n @ b . b @ . r @
እንዳልነው	?6n6d4l6n1w6	? 1 n . d a l . n @ w
እንዳልነግርሽ	?6n6d4l6n1g6r6sh6	? 1 n . d a l . n @ g . r 1 S
እንዳልንቀሳቀስ	?6n6d4l6n6K1s4K1s6	? 1 n . d a . l 1 n . k> @ . s a k> . k> @ s
እንዳልኩህ	?6n6d4l6k2h6	? 1 n . d a l . k u h
እንዳልካቸው	?6n6d4l6k4c1w6	? 1 n . d a l . k a tS . tS @ w
እንዳልክዬ	?6n6d4l6k6y5	? 1 n . d a l . k 1 j . j e
እንዳልኳት	?6n6d4l6kw4t6	? 1 n . d a l . kw a t
እንዳልወረዱ	?6n6d4l6w1r1d2	? 1 n . d a l . w @ r . r @ . d u
እንዳልጠራው	?6n6d4l6T1r4w6	? 1 n . d a l . t> @ . r a w	? 1 n . d a l . t> @ r . r a w
እንዳልጠየቅነው	?6n6d4l6T1y1K6n1w6	? 1 n . d a l . t> @ j . j @ k> . n @ w
እንዳልፈጅብህ	?6n6d4l6f1j6b6h6	? 1 n . d a l . f @ . dZ 1 b . b 1 h
እንዳመማት	?6n6d4m1m4t6	? 1 n . d a m . m @ . m a t
እንዳመራርም	?6n6d4m1r4r6m6	? 1 n . d a m . m @ . r a . r 1 m m
እንዳመስልሽ	?6n6d4m1s6l6sh6	? 1 n . d a . m @ s . l 1 S
እንዳመጣ	?6n6d4m1T4	? 1 n . d a . m @ . t> a	? 1 n . d a . m @ t> . t> a
እንዳመጣችው	?6n6d4m1T4c6w6	? 1 n . d a . m @ t> . t> a tS . tS 1 w
እንዳመጣጡ	?6n6d4m1T4T2	? 1 n . d a m . m @ . t> a . t> u
እንዳማራጭ	?6n6d4m4r4C6	? 1 n . d a m . m a . r a tS>
እንዳረገው	?6n6d4r1g1w6	? 1 n . d a r . r @ . g @ w	? 1 n . d a . r @ . g @ w
እንዳርሽ	?6n6d4r6sh6	? 1 n . n 1 . d a . r 1 S	? 1 n . d a . r 1 S
እንዳሰበ	?6n6d4s1b1	? 1 n . d a s . s @ . b @
እንዳሰበው	?6n6d4s1b1w6	? 1 n . d a s . s @ . b @ w
እንዳሰቡ	?6n6d4s1b2	? 1 n . d a s . s @ . b u
እንዳሰቡም	?6n6d4s1b2m6	? 1 n . d a s . s @ . b u m
እንዳሰብነው	?6n6d4s1b6n1w6	? 1 n . d a s . s @ b . n @ w
እንዳሰኛቸው	?6n6d4s1J4c1w6	? 1 n . d a s . s @ J . J a tS . tS @ w
እንዳሳሰሯቸው	?6n6d4s4s1rw4c1w6	? 1 n . d a . s a s . s @ . rw a tS . tS @ w
እንዳስቀመጣችሁት	?6n6d4s6K1m1T4c6h2t6	? 1 n . d a s . k> @ m . m @ . t> a tS . tS 1 . h u t
እንዳስቀመጥናት	?6n6d4s6K1m1T6n4t6	? 1 n . d a s . k> @ m . m @ t> . n a t
እንዳስቀመጥኩኝ	?6n6d4s6K1m1T6k2J6	? 1 n . d a s . k> @ m . m @ t> . k u J
እንዳስተካከልነው	?6n6d4s6t1k4k1l6n1w6	? 1 n . d a s . t @ . k a k . k @ l . n @ w
እንዳስነሳት	?6n6d4s6n1s4t6	? 1 n . d a s . n @ s . s a t
እንዳስጠላኝ	?6n6d4s6T1l4J6	? 1 n . d a s . t> @ l . l a J
እንዳሸነፉ	?6n6d4sh1n1f2	? 1 n . d a . S @ n . n @ . f u
እንዳሸንፍ	?6n6d4sh1n6f6	? 1 n . d a S . S @ n . n 1 f
እንዳቅምሽ	?6n6d4K6m6sh6	? 1 n . d a . k> 1 . m 1 S
እንዳባባሉ	?6n6d4b4b4l2	? 1 n . d a b . b a . b a . l u
እንዳታልፊ	?6n6d4t4l6f3	? 1 n . d a t . t a l . f i
እንዳታሲዘን	?6n6d4t4s3z1n6	? 1 n . d a t . t a . s i . z @ n
እንዳታስለጥፍብኝ	?6n6d4t4s6l1T6f6b6J6	? 1 n . d a t . t a s . l @ t> . t> 1 . f 1 b . b 1 J
እንዳታስቡ	?6n6d4t4s6b2	? 1 n . d a t . t a s . s 1 . b u
እንዳታስቢ	?6n6d4t4s6b3	? 1 n . d a t . t a s . s 1 . b i
እንዳታስብ	?6n6d4t4s6b6	? 1 n . d a t . t a s . s 1 b
እንዳታሸችው	?6n6d4t4sh1c6w6	? 1 n . d a t . t a . S @ tS . tS 1 w
እንዳታቋርጥ	?6n6d4t4Kw4r6T6	? 1 n . d a t . t a k>w . k>w a r . r 1 t>
እንዳታቋርጪው	?6n6d4t4Kw4r6C3w6	? 1 n . d a t . t a k>w . k>w a r . r 1 . tS> i w
እንዳታበላሽ	?6n6d4t4b1l4sh6	? 1 n . d a t . t a b . b @ . l a S S
እንዳታነሺ	?6n6d4t4n1sh3	? 1 n . d a t . t a . n @ . S i
እንዳታነሺው	?6n6d4t4n1sh3w6	? 1 n . d a t . t a . n @ . S i w
እንዳታወራኝ	?6n6d4t4w1r4J6	? 1 n . d a t . t a . w @ . r a J
እንዳታደርጊ	?6n6d4t4d1r6g3	? 1 n . d a t . t a . d @ r . g i
እንዳታድሪ	?6n6d4t4d6r3	? 1 n . d a t . t a d . r i
እንዳታጣላኝ	?6n6d4t4T4l4J6	? 1 n . d a t . t a t> . t> a l . l a J J
እንዳታጭበረብሪኝ	?6n6d4t4C6b1r1b6r3J6	? 1 n . d a t . t a tS> . b @ . r @ b . b 1 . r i J
እንዳትሆን	?6n6d4t6h7n6	? 1 n . d a t . t 1 . h o n	? 1 n . d a t . h o n
እንዳትሆኝ	?6n6d4t6h7J6	? 1 n . d a t . h o J
እንዳትለቂ	?6n6d4t6l1K3	? 1 n . d a t . t 1 . l @ k> . k> i	? 1 n . d a t . l @ k> . k> i
እንዳትለይ	?6n6d4t6l1y6	? 1 n . d a t . t 1 . l @ j j	? 1 n . d a t . l @ j j
እንዳትሉ	?6n6d4t6l2	? 1 n . d a t . t 1 . l u
እንዳትመላለሺ	?6n6d4t6m1l4l1sh3	? 1 n . d a t . t 1 m . m @ . l a l . l @ . S i
እንዳትመጡ	?6n6d4t6m1T2	? 1 n . d a t . m @ . t> u	? 1 n . d a t . m @ t> . t> u
እንዳትሞክር	?6n6d4t6m7k6r6	? 1 n . d a t . t 1 . m o k . k 1 r	? 1 n . d a t . m o k . k 1 r
እንዳትረሱ	?6n6d4t6r1s2	? 1 n . d a t . t 1 r . r @ s . s u	? 1 n . d a t . r @ . s u
እንዳትረሳት	?6n6d4t6r1s4t6	? 1 n . d a t . t 1 . r @ . s a t	? 1 n . d a t . r @ . s a t
እንዳትረሳው	?6n6d4t6r1s4w6	? 1 n . d a t . t 1 . r @ . s a w	? 1 n . d a t . r @ . s a w
እንዳትረሺ	?6n6d4t6r1sh3	? 1 n . d a t . t 1 r . r @ S . S i	? 1 n . d a t . r @ . S i
እንዳትረሺው	?6n6d4t6r1sh3w6	? 1 n . d a t . r @ . S i w
እንዳትሰጫት	?6n6d4t6s1C4t6	? 1 n . d a t . s @ . tS> a t	? 1 n . d a t . t 1 . s @ . tS> a t
እንዳትሳሳት	?6n6d4t6s4s4t6	? 1 n . d a t . t 1 s . s a . s a t
እንዳትሸጡ	?6n6d4t6sh1T2	? 1 n . d a t . t 1 S . S @ . t> u	? 1 n . d a t . S @ . t> u
እንዳትሸጥ	?6n6d4t6sh1T6	? 1 n . d a t . t 1 . S @ t>	? 1 n . d a t . S @ t>
እንዳትቀልድብኝ	?6n6d4t6K1l6d6b6J6	? 1 n . d a t . t 1 . k> @ l . l 1 . d 1 b . b 1 J	? 1 n . d a t . k> @ l . l 1 . d 1 b . b 1 J
እንዳትቀመጭ	?6n6d4t6K1m1C6	? 1 n . d a t . t 1 . k> @ m . m @ tS>
እንዳትቀሩ	?6n6d4t6K1r2	? 1 n . d a t . t 1 . k> @ . r u	? 1 n . d a t . k> @ . r u
እንዳትቀይር	?6n6d4t6K1y6r6	? 1 n . d a t . t 1 . k> @ j . j 1 r	? 1 n . d a t . k> @ j . j 1 r
እንዳትቆርጥ	?6n6d4t6K7r6T6	? 1 n . d a t . t 1 . k> o r t>	? 1 n . d a t . k> o r t>
እንዳትቆዩ	?6n6d4t6K7y2	? 1 n . d a t . t 1 . k> o j . j u	? 1 n . d a t . k> o j . j u
እንዳትቆጣሽ	?6n6d4t6K7T4sh6	? 1 n . d a t . t 1 k> . k> o t> . t> a S
እንዳትበሉትኝ	?6n6d4t6b1l2t6J6	? 1 n . d a t . b @ . l u . t 1 J J
እንዳትበሳጪ	?6n6d4t6b1s4C3	? 1 n . d a t . t 1 b . b @ . s a tS> . tS> i
እንዳትባል	?6n6d4t6b4l6	? 1 n . d a t . t 1 b . b a l
እንዳትቸገሩ	?6n6d4t6c1g1r2	? 1 n . d a t . t 1 tS . tS @ g . g @ . r u
እንዳትቸገር	?6n6d4t6c1g1r6	? 1 n . d a t . t 1 tS . tS @ g . g @ r
እንዳትነግራት	?6n6d4t6n1g6r4t6	? 1 n . d a t . n @ g . r a t
እንዳትናገር	?6n6d4t6n4g1r6	? 1 n . d a t . t 1 n . n a g . g @ r
እንዳትክደኝ	?6n6d4t6k6d1J6	? 1 n . d a t . t 1 . k 1 . d @ J	? 1 n . d a t . k 1 . d @ J
እንዳትወስጂ	?6n6d4t6w1s6j3	? 1 n . d a t . t 1 . w @ s . dZ i	? 1 n . d a t . w @ s . dZ i
እንዳትዘራበት	?6n6d4t6z1r4b1t6	? 1 n . d a t . t 1 . z @ . r a b . b @ t	? 1 n . d a t . z @ . r a b . b @ t
እንዳትዘጊ	?6n6d4t6z1g3	? 1 n . d a t . t 1 . z @ . g i	? 1 n . d a t . z @ . g i
እንዳትዘጊዋ	?6n6d4t6z1g3w4	? 1 n . d a t . t 1 . z @ . g i . w a	? 1 n . d a t . z @ . g i . w a
እንዳትዘጊው	?6n6d4t6z1g3w6	? 1 n . d a t . z @ . g i w
እንዳትዘጋ	?6n6d4t6z1g4	? 1 n . d a t . t 1 . z @ . g a	? 1 n . d a t . z @ . g a
እንዳትይኝ	?6n6d4t6y6J6	? 1 n . d a t . t 1 . j 1 J
እንዳትደርስ	?6n6d4t6d1r6s6	? 1 n . d a t . d @ r s
እንዳትደውል	?6n6d4t6d1w6l6	? 1 n . d a t . d @ w . w 1 l
እንዳትገቢ	?6n6d4t6g1b3	? 1 n . d a t . t 1 . g @ . b i	? 1 n . d a t . g @ . b i
እንዳትገባ	?6n6d4t6g1b4	? 1 n . d a t . t 1 . g @ . b a	? 1 n . d a t . g @ . b a
እንዳትጋባ	?6n6d4t6g4b4	? 1 n . d a t . t 1 g . g a b . b a
እንዳትግደረደሪ	?6n6d4t6g6d1r1d1r3	? 1 n . d a t . t 1 g . d @ . r @ d . d @ . r i
እንዳትጎረምሱባቸው	?6n6d4t6g7r1m6s2b4c1w6	? 1 n . d a t . t 1 . g o . r @ m . m 1 . s u b . b a . tS @ w	? 1 n . d a t . g o . r @ m . m 1 . s u b . b a . tS @ w
እንዳትጎዳቸው	?6n6d4t6g7d4c1w6	? 1 n . d a t . g o . d a tS . tS @ w
እንዳትጎጅ	?6n6d4t6g7j6	? 1 n . d a t . t 1 g . g o dZ	? 1 n . d a t . t 1 . g o dZ	? 1 n . d a t . g o dZ
እንዳትፈሪ	?6n6d4t6f1r3	? 1 n . d a t . t 1 . f @ . r i	? 1 n . d a t . f @ . r i
እንዳትፈጥሪ	?6n6d4t6f1T6r3	? 1 n . d a t . t 1 . f @ t> . r i	? 1 n . d a t . f @ t> . r i
እንዳነበበ	?6n6d4n1b1b1	? 1 n . d a . n @ b . b @ . b @
እንዳናረግህ	?6n6d4n4r1g6h6	? 1 n . d a n . n a . r @ . g 1 h
እንዳናነሳህ	?6n6d4n4n1s4h6	? 1 n . d a n . n a . n @ . s a h
እንዳንመለስ	?6n6d4n6m1l1s6	? 1 n . d a n . n 1 m . m @ l . l @ s
እንዳንረሳሳ	?6n6d4n6r1s4s4	? 1 n . d a n . n 1 r . r @ . s a s . s a
እንዳንሳሳት	?6n6d4n6s4s4t6	? 1 n . d a n . n 1 s . s a . s a t
እንዳንቀፈቀፈው	?6n6d4n6K1f1K1f1w6	? 1 n . d a n . k> @ . f @ k> . k> @ . f @ w
እንዳንች	?6n6d4n6c6	? 1 n . d a n tS
እንዳንወጣ	?6n6d4n6w1T4	? 1 n . d a n . n 1 . w @ . t> a	? 1 n . d a n . w @ . t> a
እንዳንደውልልሽ	?6n6d4n6d1w6l6l6sh6	? 1 n . d a n . d @ w . w 1 . l 1 l . l 1 S
እንዳንድ	?6n6d4n6d6	? 1 n . d a n d
እንዳንጠፋፋ	?6n6d4n6T1f4f4	? 1 n . d a n . n 1 t> . t> @ . f a f . f a
እንዳወራ	?6n6d4w1r4	? 1 n . d a . w @ . r a
እንዳወራሁሽ	?6n6d4w1r4h2sh6	? 1 n . d a . w @ r . r a . h u S
እንዳወራችኝ	?6n6d4w1r4c6J6	? 1 n . d a . w @ r . r a tS . tS 1 J
እንዳወራኝ	?6n6d4w1r4J6	? 1 n . d a . w @ r . r a J
እንዳወርደው	?6n6d4w1r6d1w6	? 1 n . d a . w @ r . d @ w
እንዳውቅ	?6n6d4w6K6	? 1 n . d a w k>
እንዳየሁት	?6n6d4y1h2t6	? 1 n . d a j . j @ . h u t
እንዳየነው	?6n6d4y1n1w6	? 1 n . d a j . j @ . n @ w
እንዳያመልጥህ	?6n6d4y4m1l6T6h6	? 1 n . d a . j a . m @ l . t> 1 h
እንዳያመልጥሽ	?6n6d4y4m1l6T6sh6	? 1 n . d a . j a . m @ l . t> 1 S
እንዳያመሹብኝ	?6n6d4y4m1sh2b6J6	? 1 n . d a . j a . m @ . S u b . b 1 J J
እንዳያስቸግረኝ	?6n6d4y4s6c1g6r1J6	? 1 n . d a . j a s . tS @ g . g 1 . r @ J
እንዳያይሽ	?6n6d4y4y6sh6	? 1 n . d a . j a . j 1 S
እንዳያደርገው	?6n6d4y4d1r6g1w6	? 1 n . d a . j a . d @ r . g @ w
እንዳያደርግ	?6n6d4y4d1r6g6	? 1 n . d a . j a . d @ r g
እንዳይሄዱ	?6n6d4y6h5d2	? 1 n . d a j . h e . d u
እንዳይሄድ	?6n6d4y6h5d6	? 1 n . d a j . h e d
እንዳይለምድሽ	?6n6d4y6l1m6d6sh6	? 1 n . d a j . l @ m . d 1 S
እንዳይለኝ	?6n6d4y6l1J6	? 1 n . d a j . l @ J	? 1 n . d a . j 1 . l @ J
እንዳይለይ	?6n6d4y6l1y6	? 1 n . d a . j 1 l . l @ j j	? 1 n . d a j . l @ j j
እንዳይለግሙብህ	?6n6d4y6l1g6m2b6h6	? 1 n . d a j . l @ g . g 1 . m u b . b 1 h
እንዳይሉ	?6n6d4y6l2	? 1 n . d a j . l u
እንዳይልህ	?6n6d4y6l6h6	? 1 n . d a . j 1 l . l 1 h	? 1 n . d a j . l 1 h
እንዳይመልስሽ	?6n6d4y6m1l6s6sh6	? 1 n . d a j . m @ l . l 1 . s 1 S
እንዳይመስልህ	?6n6d4y6m1s6l6h6	? 1 n . d a j . m @ s . l 1 h
እንዳይሰለቻት	?6n6d4y6s1l1c4t6	? 1 n . d a j . s @ . l @ tS . tS a t
እንዳይሰማሽ	?6n6d4y6s1m4sh6	? 1 n . d a . j 1 s . s @ m . m a S	? 1 n . d a j . s @ . m a S
እንዳይሰራ	?6n6d4y6s1r4	? 1 n . d a . j 1 s . s @ r . r a	? 1 n . d a j . s @ . r a
እንዳይስማማሽ	?6n6d4y6s6m4m4sh6	? 1 n . d a j s . m a m . m a S
እንዳይስተካከል	?6n6d4y6s6t1k4k1l6	? 1 n . d a j s . t @ . k a k . k @ l
እንዳይቀነጥስሽ	?6n6d4y6K1n1T6s6sh6	? 1 n . d a j . k> @ . n @ t> . t> 1 . s 1 S
እንዳይቀየሙሽ	?6n6d4y6K1y1m2sh6	? 1 n . d a . j 1 k> . k> @ j . j @ . m u S
እንዳይቆም	?6n6d4y6K7m6	? 1 n . d a j . k> o m
እንዳይበላው	?6n6d4y6b1l4w6	? 1 n . d a . j 1 b . b @ l . l a w	? 1 n . d a j . b @ . l a w
እንዳይበዛ	?6n6d4y6b1z4	? 1 n . d a j . b @ . z a
እንዳይባል	?6n6d4y6b4l6	? 1 n . d a . j 1 b . b a l
እንዳይቸግርህ	?6n6d4y6c1g6r6h6	? 1 n . d a j . tS @ g . g 1 . r 1 h
እንዳይነካብህ	?6n6d4y6n1k4b6h6	? 1 n . d a . j 1 n . n @ k . k a b . b 1 h	? 1 n . d a j . n @ . k a b . b 1 h
እንዳይነጣጠሉ	?6n6d4y6n1T4T1l2	? 1 n . d a . j 1 n . n @ . t> a t> . t> @ . l u
እንዳይኖረው	?6n6d4y6n7r1w6	? 1 n . d a j . n o . r @ w
እንዳይኖር	?6n6d4y6n7r6	? 1 n . d a j . n o r
እንዳይኖርበት	?6n6d4y6n7r6b1t6	? 1 n . d a j . n o . r 1 b . b @ t
እንዳይከብደዎት	?6n6d4y6k1b6d1w7t6	? 1 n . d a j . k @ b . d @ . w o t
እንዳይዘጋብኝ	?6n6d4y6z1g4b6J6	? 1 n . d a . j 1 z . z @ g . g a b . b 1 J	? 1 n . d a j . z @ . g a b . b 1 J
እንዳይዝሽ	?6n6d4y6z6sh6	? 1 n . d a . j 1 . z 1 S
እንዳይደባበቁ	?6n6d4y6d1b4b1K2	? 1 n . d a . j 1 d . d @ . b a b . b @ . k> u
እንዳይገቡ	?6n6d4y6g1b2	? 1 n . d a j . g @ . b u
እንዳይጋጭ	?6n6d4y6g4C6	? 1 n . d a . j 1 g . g a tS> tS>
እንዳይጎል	?6n6d4y6g7l6	? 1 n . d a j . g o l l
እንዳይጎዱ	?6n6d4y6g7d2	? 1 n . d a . j 1 g . g o d . d u	? 1 n . d a j . g o . d u
እንዳይጨቀጭቅህ	?6n6d4y6C1K1C6K6h6	? 1 n . d a j . tS> @ . k> @ tS> . tS> 1 . k> 1 h
እንዳይፈጠር	?6n6d4y6f1T1r6	? 1 n . d a j . f @ t> . t> @ r
እንዳደረሰው	?6n6d4d1r1s1w6	? 1 n . d a . d @ r . r @ . s @ w
እንዳደረገላት	?6n6d4d1r1g1l4t6	? 1 n . d a . d @ r . r @ . g @ l . l a t
እንዳደረገኝ	?6n6d4d1r1g1J6	? 1 n . d a . d @ . r @ . g @ J
እንዳደረጉልኝ	?6n6d4d1r1g2l6J6	? 1 n . d a . d @ r . r @ . g u l . l 1 J
እንዳደረጋቸው	?6n6d4d1r1g4c1w6	? 1 n . d a . d @ r . r @ . g a tS . tS @ w
እንዳደርስ	?6n6d4d1r6s6	? 1 n . d a . d @ r s	? 1 n . d a d . d @ r s
እንዳደርጋት	?6n6d4d1r6g4t6	? 1 n . d a . d @ r . g a t
እንዳገሩ	?6n6d4g1r2	? 1 n . d a . g @ . r u
እንዳገኘህ	?6n6d4g1J1h6	? 1 n . d a . g @ J . J @ h
እንዳጠብቂ	?6n6d4T1b6K3	? 1 n . d a t> . t> @ b . b 1 . k> i	? 1 n . d a t> . t> @ b . k> i
እንዳጠናቀቀ	?6n6d4T1n4K1K1	? 1 n . d a t> . t> @ . n a k> . k> @ . k> @
እንዳጠፉት	?6n6d4T1f2t6	? 1 n . d a t> . t> @ . f u t
እንዳጨርሺው	?6n6d4C1r6sh3w6	? 1 n . d a tS> . tS> @ r . r 1 . S i w
እንዴታ	?6n6d5t4	? 1 n . d e . t a
እንዴትም	?6n6d5t6m6	? 1 n . d e . t 1 m m
እንድሆን	?6n6d6h7n6	? 1 n . d 1 . h o n
እንድሆንልኝ	?6n6d6h7n6l6J6	? 1 n . d 1 . h o . n 1 l . l 1 J J
እንድላት	?6n6d6l4t6	? 1 n . d 1 . l a t
እንድል	?6n6d6l6	? 1 n . d 1 l
እንድማከር	?6n6d6m4k1r6	? 1 n . d 1 m . m a k . k @ r
እንድሞላ	?6n6d6m7l4	? 1 n . d 1 . m o . l a	? 1 n . d 1 m . m o l . l a
እንድሠራ	?6n6d6sz1r4	? 1 n . d 1 s . s @ r . r a
እንድረስ	?6n6d6r1s6	? 1 . n 1 d . r @ s
እንድሪስና	?6n6d6r3s6n4	? 1 n . d 1 . r i . s 1 n . n a
እንድርሀለን	?6n6d6r6h1l1n6	? 1 n . d 1 r . h a l . l @ n
እንድሰማው	?6n6d6s1m4w6	? 1 n . d 1 . s @ . m a w	? 1 n . d 1 s . s @ m . m a w
እንድቀየር	?6n6d6K1y1r6	? 1 n . d 1 k> . k> @ j . j @ r
እንድቀድም	?6n6d6K1d6m6	? 1 n . d 1 . k> @ . d 1 m	? 1 n . d 1 k> . k> @ . d 1 m
እንድታመጣ	?6n6d6t4m1T4	? 1 n . d 1 t . t a . m @ . t> a
እንድታመጣልን	?6n6d6t4m1T4l6n6	? 1 n . d 1 t . t a . m @ . t> a l . l 1 n
እንድታመጣልኝ	?6n6d6t4m1T4l6J6	? 1 n . d 1 t . t a . m @ . t> a l . l 1 J J
እንድታማክሪኝ	?6n6d6t4m4k6r3J6	? 1 n . d 1 t . t a m . m a k . k 1 . r i J J
እንድታረጉም	?6n6d6t4r1g2m6	? 1 n . d 1 t . t a . r @ . g u m m
እንድታረጉን	?6n6d6t4r1g2n6	? 1 n . d 1 t . t a . r @ . g u n
እንድታረግ	?6n6d6t4r1g6	? 1 n . d 1 t . t a . r @ g
እንድታሳልፍ	?6n6d6t4s4l6f6	? 1 n . d 1 t . t a . s a l . l 1 f
እንድታስቀምጥ	?6n6d6t4s6K1m6T6	? 1 n . d 1 t . t a s . k> @ m . m 1 t>
እንድታስቡበት	?6n6d6t4s6b2b1t6	? 1 n . d 1 t . t a s . s 1 . b u b . b @ t
እንድታስታርቀኝ	?6n6d6t4s6t4r6K1J6	? 1 n . d 1 t . t a s . t a r . r 1 . k> @ J J
እንድታስገባ	?6n6d6t4s6g1b4	? 1 n . d 1 t . t a s . g @ b . b a
እንድታስፈርማቸው	?6n6d6t4s6f1r6m4c1w6	? 1 n . d 1 t . t a s . f @ r . r 1 . m a tS . tS @ w
እንድታስፈርምልኝ	?6n6d6t4s6f1r6m6l6J6	? 1 n . d 1 t . t a s . f @ r . r 1 . m 1 l . l 1 J J
እንድታቀርብ	?6n6d6t4K1r6b6	? 1 n . d 1 t . t a . k> @ r b
እንድታናግረኝ	?6n6d6t4n4g6r1J6	? 1 n . d 1 t . t a n . n a g . g 1 . r @ J J
እንድታናግሪ	?6n6d6t4n4g6r3	? 1 n . d 1 t . t a n . n a g . g 1 . r i
እንድታከብሩ	?6n6d6t4k1b6r2	? 1 n . d 1 t . t a . k @ b . r u
እንድታካብጂብኝ	?6n6d6t4k4b6j3b6J6	? 1 n . d 1 t . t a k . k a b . b 1 . dZ i b . b 1 J J
እንድታወራኝ	?6n6d6t4w1r4J6	? 1 n . d 1 t . t a . w @ . r a J J
እንድታዘጋጅልኝ	?6n6d6t4z1g4j6l6J6	? 1 n . d 1 t . t a z . z @ . g a dZ . dZ 1 l . l 1 J J
እንድታየው	?6n6d6t4y1w6	? 1 n . d 1 t . t a . j @ w	? 1 n . d 1 t . t a j . j @ w
እንድታዩት	?6n6d6t4y2t6	? 1 n . d 1 t . t a . j u t
እንድታያት	?6n6d6t4y4t6	? 1 n . d 1 t . t a . j a t	? 1 n . d 1 t . t a j . j a t
እንድታይ	?6n6d6t4y6	? 1 n . d 1 t . t a j	? 1 n . d 1 t . t a j j
እንድታደርስልኝ	?6n6d6t4d1r6s6l6J6	? 1 n . d 1 t . t a . d @ r . s 1 l . l 1 J J
እንድታደርገው	?6n6d6t4d1r6g1w6	? 1 n . d 1 t . t a . d @ r . g @ w
እንድታደርግ	?6n6d6t4d1r6g6	? 1 n . d 1 t . t a . d @ r g
እንድታገባለት	?6n6d6t4g1b4l1t6	? 1 n . d 1 t . t a . g @ . b a l . l @ t
እንድታግዣት	?6n6d6t4g6Z4t6	? 1 n . d 1 t . t a g . g 1 . Z a t
እንድትለወጥ	?6n6d6t6l1w1T6	? 1 n . d 1 t . t 1 l . l @ w . w @ t>
እንድትለው	?6n6d6t6l1w6	? 1 n . d 1 t . t 1 . l @ w
እንድትለዪን	?6n6d6t6l1y3n6	? 1 n . d 1 t . l @ j . j i n
እንድትሉ	?6n6d6t6l2	? 1 n . d 1 t . t 1 . l u
እንድትል	?6n6d6t6l6	? 1 n . d 1 t . t 1 l
እንድትልኪልኝ	?6n6d6t6l6k3l6J6	? 1 n . d 1 t . l 1 . k i l . l 1 J J
እንድትልክልኝ	?6n6d6t6l6k6l6J6	? 1 n . d 1 t . l 1 . k 1 l . l 1 J J
እንድትመልስ	?6n6d6t6m1l6s6	? 1 n . d 1 t . m @ l . l 1 s
እንድትመጣ	?6n6d6t6m1T4	? 1 n . d 1 t . m @ . t> a
እንድትመጭልኝ	?6n6d6t6m1C6l6J6	? 1 n . d 1 t . m @ tS> . tS> 1 l . l 1 J J
እንድትረጃቸው	?6n6d6t6r1j4c1w6	? 1 n . d 1 t . r @ . dZ a tS . tS @ w	? 1 n . d 1 t . t 1 r . r @ dZ . dZ a tS . tS @ w
እንድትረጅኝ	?6n6d6t6r1j6J6	? 1 n . d 1 t . t 1 r . r @ dZ . dZ 1 J J	? 1 n . d 1 t . r @ . dZ 1 J J
እንድትረጋጋ	?6n6d6t6r1g4g4	? 1 n . d 1 t . t 1 r . r @ . g a g . g a
እንድትሰለጥኝ	?6n6d6t6s1l1T6J6	? 1 n . d 1 t . s @ . l @ t> . t> 1 J
እንድትሰራ	?6n6d6t6s1r4	? 1 n . d 1 t . t 1 s . s @ r . r a	? 1 n . d 1 t . s @ . r a
እንድትሰጡን	?6n6d6t6s1T2n6	? 1 n . d 1 t . s @ . t> u n	? 1 n . d 1 t . t 1 s . s @ t> . t> u n
እንድትሰጪኝ	?6n6d6t6s1C3J6	? 1 n . d 1 t . t 1 s . s @ tS> . tS> i J J
እንድትቀበለኝ	?6n6d6t6K1b1l1J6	? 1 n . d 1 t . t 1 k> . k> @ b . b @ . l @ J J
እንድትቀበሉት	?6n6d6t6K1b1l2t6	? 1 n . d 1 t . t 1 k> . k> @ b . b @ . l u t
እንድትቀጥል	?6n6d6t6K1T6l6	? 1 n . d 1 t . k> @ t> . t> 1 l
እንድትቆይ	?6n6d6t6K7y6	? 1 n . d 1 t . k> o j j
እንድትቆጥብ	?6n6d6t6K7T6b6	? 1 n . d 1 t . k> o t> . t> 1 b
እንድትባል	?6n6d6t6b4l6	? 1 n . d 1 t . t 1 b . b a l
እንድትነግረኝ	?6n6d6t6n1g6r1J6	? 1 n . d 1 t . n @ g . r @ J J
እንድትነግሪልኝ	?6n6d6t6n1g6r3l6J6	? 1 n . d 1 t . n @ g . r i l . l 1 J J
እንድትንከባከቢ	?6n6d6t6n6k1b4k1b3	? 1 n . d 1 t . t 1 n . k @ . b a k . k @ . b i
